代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
605567,春雪食品,10.85,-2.52,36969.0,40452267.0,11.19,10.75,11.14,11.13,2170000000.0,2170000000.0,1.85,1320.44
002188,中天服务,6.4,-6.3,439892.0,283021664.25,6.74,6.29,6.6,6.83,2093464730.0,1647123245.0,17.09,642.28
300500,启迪设计,10.51,-2.78,33047.0,34989900.0,10.82,10.45,10.82,10.81,1828475873.0,1761454507.0,1.97,354.7
300649,杭州园林,14.39,-2.31,20837.0,30161643.0,14.75,14.28,14.7,14.73,1905475004.0,1527020953.0,1.96,142.43
301372,科净源,28.28,1.69,23906.0,67444492.0,28.6,27.61,28.36,27.81,1939200040.0,1164300185.0,5.81,141.06
688681,科汇股份,18.84,-1.26,21538.0,40590008.0,19.16,18.57,19.09,19.08,1971982800.0,1971982800.0,2.06,128.04
688565,力源科技,12.7,-4.01,30395.0,38887141.0,13.37,12.53,13.23,13.23,1901571000.0,1901571000.0,2.03,118.8801473289
301037,保立佳,14.56,-2.93,15438.0,22828953.0,15.09,14.53,15.04,15.0,2024301348.0,990047750.0,2.27,110.21
002524,光正眼科,4.2,-4.11,142638.0,60654001.0,4.41,4.17,4.36,4.38,2164392611.0,2145600761.0,2.79,100.83
688021,奥福科技,24.39,-2.05,20551.0,50471149.0,24.98,23.99,24.9,24.9,1863730558.0,1863730558.0,2.69,99.7554184743
688329,艾隆科技,24.01,-3.54,11920.0,29283621.0,25.18,24.01,25.05,24.89,1853572000.0,1853572000.0,1.54,96.56
300929,华骐环保,12.84,-2.65,38161.0,49191182.0,13.16,12.73,13.12,13.19,1696587155.0,1627436051.0,3.01,84.98
300013,新宁物流,3.77,-2.84,129580.0,49236979.5,3.88,3.75,3.85,3.88,2105013030.0,1681275055.0,2.91,84.09
603879,永悦科技,5.32,-4.14,83732.0,45120733.0,5.55,5.3,5.55,5.55,1911712421.0,1911712421.0,2.33,72.6540458622
002719,麦趣尔,8.65,-2.7,63147.0,54977975.0,8.88,8.59,8.83,8.89,1506306303.0,1400098472.0,3.9,61.95
688096,京源环保,8.16,-4.56,76446.0,63168623.0,8.55,8.11,8.55,8.55,1926124695.0,1926124695.0,3.24,61.05
688004,博汇科技,21.87,-3.4,14780.0,32747217.0,22.64,21.79,22.64,22.64,1751524560.0,1751524560.0,1.85,59.4260464959
002910,庄园牧场,10.71,-1.56,41427.0,44532888.0,10.92,10.65,10.88,10.88,2094226406.0,1832073485.0,2.42,59.08
688193,仁度生物,50.61,-2.73,3118.0,15979576.0,52.25,50.57,52.03,52.03,2027936121.0,2027936121.0,0.78,50.15
600119,长江投资,5.95,-0.83,41202.0,24499883.0,6.0,5.9,6.0,6.0,2173358702.0,2173358702.0,1.13,47.854436936
300556,丝路视觉,17.47,-2.84,31975.0,56507424.0,18.01,17.39,17.94,17.98,2123746018.0,1895608538.0,2.95,43.36
300886,华业香料,28.69,-2.32,9564.0,27568159.0,29.37,28.41,29.37,29.37,2145954620.0,1252212347.0,2.19,39.41
301167,建研设计,16.45,-2.61,22224.0,36788451.0,16.83,16.36,16.81,16.89,1842400000.0,1167335938.0,3.13,39.36
300923,研奥股份,27.25,-2.78,13092.0,36113954.0,28.17,27.18,28.11,28.03,2141850000.0,2083766625.0,1.71,36.77
600455,博通股份,25.79,-2.01,22758.0,59544274.0,26.58,25.79,26.24,26.32,1610791820.0,1610791820.0,3.64,36.43
002856,美芝股份,11.29,-1.83,32930.0,36860073.0,11.45,10.9,11.38,11.5,1527681602.0,1398881161.0,2.66,26.79
600778,友好集团,6.32,-2.92,70782.0,45089582.0,6.53,6.28,6.51,6.51,1968625345.0,1966878054.0,2.27,26.33
300640,德艺文创,7.03,-3.03,84719.0,60052477.0,7.25,7.0,7.2,7.25,2186283792.0,1551866384.0,3.84,26.25
600137,浪莎股份,22.13,-1.51,42089.0,92759598.0,22.54,21.69,22.54,22.47,2151425222.0,2151425222.0,4.33,26.15
300295,三六五网,9.45,-3.28,66180.0,62811207.11,9.73,9.4,9.72,9.77,1791849597.0,1583119642.0,3.95,21.53
