代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
300163,先锋新材,4.65,1.97,118254.0,54762850.84,4.7,4.58,4.65,4.56,2204100000.0,2110123300.0,2.61,1852.52
605567,春雪食品,11.04,-0.09,30576.0,33873264.0,11.24,10.97,11.23,11.05,2208000000.0,2208000000.0,1.53,1320.44
002188,中天服务,6.52,-1.81,134466.0,88833444.55,6.87,6.46,6.84,6.64,2132717193.0,1678006806.0,5.22,642.28
300500,启迪设计,11.05,2.6,42958.0,47170803.0,11.24,10.83,10.99,10.77,1922422302.0,1851957403.0,2.56,354.7
300649,杭州园林,14.36,0.63,24539.0,35357678.0,14.72,14.23,14.56,14.27,1901502505.0,1523837449.0,2.31,142.43
301372,科净源,26.77,2.88,17808.0,47318791.0,26.96,26.03,26.67,26.02,1835657181.0,1102132813.0,4.33,141.06
688681,科汇股份,18.68,2.08,21254.0,39697808.0,18.97,18.47,18.95,18.3,1955235600.0,1955235600.0,2.03,128.04
688565,力源科技,13.27,0.84,22286.0,29491541.0,13.6,13.05,13.29,13.16,1986917100.0,1986917100.0,1.49,118.8801473289
300334,津膜科技,7.4,0.14,51950.0,38549159.0,7.57,7.31,7.53,7.39,2235283634.0,2235020231.0,1.72,111.28
301037,保立佳,14.94,2.26,25387.0,37962659.16,15.26,14.76,14.99,14.61,2077133389.0,1015886908.0,3.73,110.21
688021,奥福科技,26.25,3.96,36925.0,97745853.0,27.46,25.64,26.2,25.25,2005860071.0,2005860071.0,4.83,99.7554184743
688329,艾隆科技,24.56,2.46,16992.0,41471211.0,24.69,24.06,24.46,23.97,1896032000.0,1896032000.0,2.2,96.56
301167,建研设计,16.78,2.19,30503.0,50874299.0,16.89,16.54,16.65,16.42,1879360000.0,1193358295.0,4.29,85.51
300929,华骐环保,12.94,-0.69,47927.0,62321718.25,13.37,12.73,13.29,13.03,1709800451.0,1640110787.0,3.78,84.98
300013,新宁物流,3.88,0.78,107345.0,41483825.0,3.95,3.83,3.91,3.85,2166432509.0,1730330826.0,2.41,84.09
603879,永悦科技,5.72,1.06,68325.0,38893480.0,5.83,5.64,5.78,5.66,2055450197.0,2055450197.0,1.9,72.6540458622
002719,麦趣尔,8.94,-0.45,74896.0,67308787.68,9.24,8.82,9.19,8.98,1556806746.0,1447038189.0,4.63,61.95
688096,京源环保,8.47,-1.74,108006.0,93591965.0,9.13,8.42,8.8,8.62,1999298550.0,1999298550.0,4.58,61.05
688004,博汇科技,22.34,2.71,13191.0,29486381.0,22.59,22.1,22.2,21.75,1789165920.0,1789165920.0,1.65,59.4260464959
002910,庄园牧场,10.99,-0.99,49528.0,54640139.0,11.3,10.85,11.26,11.1,2148977424.0,1879970831.0,2.9,59.08
688193,仁度生物,52.37,1.89,4125.0,21463565.0,52.42,51.61,51.73,51.4,2098459092.0,2098459092.0,1.03,50.15
301024,霍普股份,33.73,1.6,10668.0,35945237.5,34.2,33.23,34.0,33.2,2144722050.0,2076418800.0,1.73,46.42
300556,丝路视觉,17.65,0.91,24349.0,43014288.0,18.0,17.46,17.86,17.49,2145627774.0,1915139707.0,2.24,43.36
300886,华业香料,28.88,0.59,10332.0,29860896.4,29.4,28.58,29.1,28.71,2160166240.0,1260505144.0,2.37,39.41
300923,研奥股份,27.89,0.65,18025.0,50086057.1,28.2,27.51,27.98,27.71,2192154000.0,2132706465.0,2.36,36.77
002856,美芝股份,11.3,0.53,40124.0,45705180.0,11.69,11.18,11.5,11.24,1529034730.0,1400120206.0,3.24,26.79
600778,友好集团,6.5,0.0,70953.0,46055328.0,6.64,6.42,6.6,6.5,2024693788.0,2022896733.0,2.28,26.33
300640,德艺文创,7.26,0.83,74077.0,53654356.0,7.37,7.17,7.31,7.2,2257812280.0,1602638684.0,3.36,26.25
600137,浪莎股份,22.76,-0.91,53059.0,121308098.0,23.2,22.57,23.2,22.97,2212672303.0,2212672303.0,5.46,26.15
600455,博通股份,26.86,0.9,16305.0,43912674.0,27.82,26.53,27.35,26.62,1677621880.0,1677621880.0,2.61,25.63
