代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
605567,春雪食品,11.0,0.36,39186.0,43225826.0,11.19,10.91,10.91,10.96,2200000000.0,2200000000.0,1.96,1320.44
002188,中天服务,6.57,0.61,103086.0,67464835.0,6.6,6.48,6.53,6.53,2149072386.0,1690874956.0,4.01,642.28
300500,启迪设计,10.73,0.56,30363.0,32394605.0,10.77,10.58,10.73,10.67,1866750344.0,1798326057.0,1.81,354.7
688329,艾隆科技,22.27,-9.66,53525.0,119451180.0,23.46,21.88,23.46,24.65,1719244000.0,1719244000.0,6.93,185.5256539009
300649,杭州园林,16.6,5.87,68372.0,111816407.73,16.9,15.6,15.68,15.68,2198115709.0,1761539112.0,6.44,142.43
301372,科净源,32.05,-2.29,28259.0,91122874.74,32.8,31.8,32.8,32.8,2197714332.0,1319512762.0,6.86,141.06
688565,力源科技,12.72,-0.55,25592.0,32483993.0,12.88,12.57,12.8,12.79,1904565600.0,1904565600.0,1.71,118.8801473289
300334,津膜科技,7.28,-0.14,48027.0,34917372.0,7.32,7.21,7.28,7.29,2199035792.0,2198776660.0,1.59,111.28
301037,保立佳,14.99,-0.46,12437.0,18691482.8,15.18,14.93,15.05,15.06,2084084973.0,1019286797.0,1.83,110.21
002524,光正眼科,4.08,-0.24,120703.0,49026112.36,4.1,4.02,4.05,4.09,2102552822.0,2084297882.0,2.36,100.83
688021,奥福科技,23.95,-1.84,18709.0,45143717.0,24.5,23.89,24.26,24.4,1830108522.0,1830108522.0,2.45,99.7554184743
300929,华骐环保,12.61,0.16,25439.0,31986532.2,12.69,12.45,12.6,12.59,1666196575.0,1598284159.0,2.01,84.98
300013,新宁物流,3.77,0.27,104221.0,39354319.76,3.81,3.75,3.76,3.76,2105013030.0,1681275055.0,2.34,84.09
603879,永悦科技,5.62,2.93,162970.0,90869248.0,5.67,5.42,5.45,5.46,2019515753.0,2019515753.0,4.54,66.9054687697
002719,麦趣尔,8.28,-0.96,53115.0,44092443.8,8.41,8.22,8.36,8.36,1441874704.0,1340209867.0,3.28,61.95
688096,京源环保,8.12,0.37,49986.0,40375526.0,8.27,7.96,8.02,8.09,1916682907.0,1916682907.0,2.12,61.05
002910,庄园牧场,10.7,-0.93,30251.0,32463368.0,10.88,10.63,10.8,10.8,2092271013.0,1830362865.0,1.77,59.08
688681,科汇股份,19.15,0.21,20983.0,40132986.0,19.37,18.91,19.17,19.11,2004430500.0,2004430500.0,2.0,53.71
000663,永安林业,6.36,-1.09,65409.0,41573748.0,6.43,6.29,6.42,6.43,2141309788.0,1948075607.0,2.14,49.45
600561,江西长运,6.87,1.48,82342.0,56312083.0,6.9,6.72,6.75,6.77,1954355616.0,1954355616.0,2.89,45.32
300556,丝路视觉,17.85,-1.22,30505.0,54522999.0,18.15,17.74,18.15,18.07,2169940837.0,1936841007.0,2.81,43.36
688004,博汇科技,22.4,0.22,14331.0,32153727.0,22.8,22.14,22.14,22.35,1793971200.0,1793971200.0,1.79,41.4321729026
301167,建研设计,16.84,0.54,19641.0,33030332.76,16.92,16.68,16.79,16.75,1886080000.0,1195011380.0,2.77,39.36
300923,研奥股份,27.97,0.61,11729.0,32806842.0,28.35,27.67,27.78,27.8,2198442000.0,2138823945.0,1.53,36.77
600455,博通股份,25.83,0.27,11538.0,29621676.0,25.85,25.53,25.74,25.76,1613290140.0,1613290140.0,1.85,36.43
002856,美芝股份,12.55,6.18,79674.0,96032970.48,12.56,11.74,11.82,11.82,1698175740.0,1555000760.0,6.43,26.79
600778,友好集团,6.41,-0.31,57797.0,36992882.0,6.48,6.33,6.42,6.43,1996659566.0,1994887394.0,1.86,26.33
300640,德艺文创,7.11,0.0,140317.0,100351785.0,7.35,7.01,7.08,7.11,2211163266.0,1569526314.0,6.36,26.25
300295,三六五网,10.73,1.8,84155.0,88868385.0,10.75,10.38,10.6,10.54,2034555151.0,1797552778.0,5.02,21.53
300074,华平股份,4.02,-1.47,122500.0,49181634.0,4.07,3.98,4.06,4.08,2211352152.0,2199294966.0,2.24,19.65
