代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
600768,宁波富邦,15.93,-1.61,59562.0,95631151.0,16.41,15.9,16.36,16.19,2130592896.0,2130592896.0,4.45,3649.06
605567,春雪食品,10.72,-0.92,30320.0,32609379.0,10.88,10.69,10.88,10.82,2144000000.0,2144000000.0,1.52,1320.44
002188,中天服务,6.38,-3.48,172248.0,111263250.76,6.66,6.34,6.63,6.61,2086922652.0,1641975985.0,6.69,642.28
300500,启迪设计,10.37,-1.61,30347.0,31735929.7,10.64,10.36,10.64,10.54,1804119392.0,1737990793.0,1.81,354.7
300649,杭州园林,14.87,-1.33,17683.0,26394440.0,15.2,14.82,15.2,15.07,1969034976.0,1577957024.0,1.67,142.43
688681,科汇股份,18.98,0.48,21739.0,41547658.0,19.45,18.9,18.99,18.89,1986636600.0,1986636600.0,2.08,128.04
688565,力源科技,12.61,-0.24,23657.0,29860416.0,12.8,12.49,12.78,12.64,1888095300.0,1888095300.0,1.58,118.8801473289
301037,保立佳,14.43,-0.41,12061.0,17437411.08,14.62,14.33,14.55,14.49,2006227229.0,981208038.0,1.77,110.21
002524,光正眼科,4.11,-0.72,133357.0,55118562.11,4.21,4.1,4.2,4.14,2118012769.0,2099623602.0,2.61,100.83
688021,奥福科技,24.11,-0.29,24293.0,59491817.0,25.0,24.01,24.37,24.18,1842334717.0,1842334717.0,3.18,99.7554184743
688329,艾隆科技,24.0,0.67,18395.0,44354938.0,24.45,23.72,23.83,23.84,1852800000.0,1852800000.0,2.38,96.56
300929,华骐环保,12.51,-0.64,26910.0,33862197.8,12.71,12.42,12.62,12.59,1652983280.0,1585609424.0,2.12,84.98
300013,新宁物流,3.75,-1.06,95380.0,35908763.5,3.81,3.73,3.8,3.79,2093845853.0,1672355824.0,2.14,84.09
603879,永悦科技,5.28,-2.22,59214.0,31589442.0,5.47,5.27,5.4,5.4,1897338643.0,1897338643.0,1.65,72.6540458622
002719,麦趣尔,8.39,-1.87,44447.0,37551407.0,8.58,8.37,8.55,8.55,1461030044.0,1358014587.0,2.75,61.95
688096,京源环保,8.47,2.67,114905.0,99388676.0,8.94,8.26,8.27,8.25,1999298550.0,1999298550.0,4.87,61.05
688004,博汇科技,22.2,-0.67,12895.0,28921179.0,22.77,22.03,22.35,22.35,1777953600.0,1777953600.0,1.61,59.4260464959
002910,庄园牧场,10.52,-0.85,26535.0,28072282.0,10.75,10.52,10.71,10.61,2057073930.0,1799571714.0,1.55,59.08
688193,仁度生物,49.87,-0.22,3978.0,19889643.0,50.47,49.52,50.08,49.98,1998284417.0,1998284417.0,0.99,50.15
000663,永安林业,6.34,-1.71,70365.0,44799198.98,6.5,6.33,6.46,6.45,2134576110.0,1941949583.0,2.3,49.45
600119,长江投资,5.88,-1.84,35671.0,21119068.0,6.0,5.87,5.97,5.99,2147789776.0,2147789776.0,0.98,47.854436936
300556,丝路视觉,17.51,-1.9,27358.0,48134660.0,17.92,17.43,17.89,17.85,2128608631.0,1899948797.0,2.52,43.36
300886,华业香料,27.43,-1.37,14285.0,39307032.24,27.9,27.25,27.81,27.81,2051709140.0,1197218009.0,3.27,39.41
301167,建研设计,16.3,-0.31,22673.0,37027234.0,16.46,16.2,16.4,16.35,1825600000.0,1156691537.0,3.2,39.36
300923,研奥股份,26.85,-1.32,13428.0,36285251.0,27.32,26.76,27.32,27.21,2110410000.0,2053179225.0,1.76,36.77
600455,博通股份,25.29,-1.79,16125.0,41081478.0,25.85,25.21,25.79,25.75,1579562820.0,1579562820.0,2.58,36.43
002856,美芝股份,11.54,-2.45,56915.0,66203495.0,11.91,11.42,11.88,11.83,1561509804.0,1429857272.0,4.59,26.79
600778,友好集团,6.3,-1.1,49370.0,31260997.0,6.4,6.29,6.39,6.37,1962395518.0,1960653757.0,1.59,26.33
300640,德艺文创,6.83,-1.16,72176.0,49490061.0,7.02,6.79,7.0,6.91,2124085106.0,1507716558.0,3.27,26.25
600137,浪莎股份,20.99,-1.5,20091.0,42305619.0,21.39,20.91,21.38,21.31,2040597172.0,2040597172.0,2.07,26.15
