代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
300163,先锋新材,4.56,-1.94,135260.0,62211833.0,4.66,4.53,4.61,4.65,2161440000.0,2069282204.0,2.98,1852.52
605567,春雪食品,10.84,-1.81,40786.0,44434865.0,11.14,10.7,11.04,11.04,2168000000.0,2168000000.0,2.04,1320.44
002188,中天服务,6.28,-3.68,127501.0,80716019.0,6.58,6.17,6.53,6.52,2054212266.0,1616239684.0,4.95,642.28
300500,启迪设计,10.56,-4.43,50784.0,54191115.4,11.05,10.43,10.93,11.05,1837174617.0,1769834405.0,3.03,354.7
300649,杭州园林,14.07,-2.02,27693.0,39089006.0,14.5,13.85,14.39,14.36,1863101689.0,1493063573.0,2.61,142.43
301372,科净源,26.08,-2.58,13836.0,36485295.0,27.2,25.73,26.74,26.77,1788342894.0,1073725206.0,3.36,141.06
688681,科汇股份,18.14,-2.89,18641.0,34045318.0,18.73,17.95,18.68,18.68,1898713800.0,1898713800.0,1.78,128.04
688565,力源科技,12.87,-3.01,27175.0,35090497.0,13.47,12.56,13.21,13.27,1927025100.0,1927025100.0,1.81,118.8801473289
300334,津膜科技,7.21,-2.57,64880.0,46997560.0,7.54,7.12,7.44,7.4,2177891217.0,2177634577.0,2.15,111.28
301037,保立佳,14.45,-3.28,26508.0,38599824.56,14.99,14.2,14.98,14.94,2009007863.0,982567993.0,3.9,110.21
688021,奥福科技,24.5,-6.67,46672.0,116378307.0,26.39,23.98,26.0,26.25,1872136067.0,1872136067.0,6.11,99.7554184743
688329,艾隆科技,24.01,-2.24,12223.0,29504596.0,24.65,23.75,24.55,24.56,1853572000.0,1853572000.0,1.58,96.56
301167,建研设计,16.24,-3.22,32029.0,52378197.4,16.86,16.05,16.71,16.78,1818880000.0,1154954631.0,4.5,85.51
300929,华骐环保,12.44,-3.86,53497.0,67577515.6,13.06,12.3,12.97,12.94,1643733973.0,1576737109.0,4.22,84.98
300013,新宁物流,3.79,-2.32,118552.0,45217446.0,3.88,3.75,3.86,3.88,2116180208.0,1690194286.0,2.66,84.09
603879,永悦科技,5.47,-4.37,96262.0,53236869.0,5.74,5.41,5.72,5.72,1965614087.0,1965614087.0,2.68,72.6540458622
002719,麦趣尔,8.52,-4.7,91947.0,79480615.0,8.95,8.38,8.95,8.94,1483668174.0,1379056529.0,5.68,61.95
688096,京源环保,8.08,-4.6,108106.0,88384721.0,8.47,8.0,8.4,8.47,1907241119.0,1907241119.0,4.58,61.05
688004,博汇科技,21.34,-4.48,17649.0,38475124.0,22.43,21.28,22.27,22.34,1709077920.0,1709077920.0,2.2,59.4260464959
002910,庄园牧场,10.76,-2.09,46052.0,49751157.0,11.06,10.61,11.0,10.99,2104003374.0,1840626582.0,2.69,59.08
688193,仁度生物,50.94,-2.73,3949.0,20263711.0,52.49,50.51,52.42,52.37,2041159178.0,2041159178.0,0.99,50.15
600119,长江投资,6.0,-3.38,61732.0,37459504.0,6.21,5.95,6.18,6.21,2191622220.0,2191622220.0,1.69,47.854436936
301024,霍普股份,32.66,-3.17,8152.0,26831377.0,33.89,32.06,33.73,33.73,2076686100.0,2010549600.0,1.32,46.42
300556,丝路视觉,17.16,-2.78,27623.0,47857094.76,17.66,17.01,17.65,17.65,2086060771.0,1861971523.0,2.55,43.36
300886,华业香料,28.01,-3.01,12170.0,34362564.78,29.06,27.67,29.0,28.88,2095091980.0,1222532863.0,2.79,39.41
300923,研奥股份,27.21,-2.44,16872.0,46350809.2,28.26,27.0,27.99,27.89,2138706000.0,2080707885.0,2.21,36.77
002856,美芝股份,10.95,-3.1,41328.0,45637816.0,11.37,10.81,11.29,11.3,1481675248.0,1356753651.0,3.34,26.79
600778,友好集团,6.29,-3.23,89425.0,56647830.0,6.5,6.22,6.5,6.5,1959280604.0,1957541608.0,2.87,26.33
300640,德艺文创,7.04,-3.03,77386.0,54924081.81,7.3,6.97,7.27,7.26,2189393726.0,1554073875.0,3.51,26.25
600137,浪莎股份,21.5,-5.54,47655.0,103963642.0,23.08,21.22,22.74,22.76,2090178142.0,2090178142.0,4.9,26.15
