代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
300163,先锋新材,4.38,-3.95,123743.0,54802089.0,4.59,4.36,4.56,4.56,2076120000.0,1987600012.0,2.73,1852.52
605567,春雪食品,10.35,-4.52,42016.0,44204186.0,10.9,10.33,10.9,10.84,2070000000.0,2070000000.0,2.1,1320.44
002188,中天服务,6.06,-3.5,122544.0,74654249.0,6.29,5.98,6.29,6.28,1982249416.0,1559619822.0,4.76,642.28
300500,启迪设计,10.03,-5.02,47368.0,47999761.0,10.56,9.93,10.56,10.56,1744967936.0,1681007489.0,2.83,354.7
300649,杭州园林,13.57,-3.55,29965.0,40943737.0,14.17,13.49,14.07,14.07,1796893384.0,1440005166.0,2.82,142.43
301372,科净源,25.17,-3.49,12419.0,31525764.0,26.5,25.03,26.24,26.08,1725942893.0,1036260101.0,3.02,141.06
688681,科汇股份,17.65,-2.7,20879.0,36888611.0,18.29,17.3,18.29,18.14,1847425500.0,1847425500.0,1.99,128.04
688565,力源科技,12.27,-4.66,26282.0,32521931.0,12.99,12.09,12.99,12.87,1837187100.0,1837187100.0,1.76,118.8801473289
300334,津膜科技,6.87,-4.72,69652.0,48395954.0,7.28,6.82,7.2,7.21,2075188996.0,2074944458.0,2.31,111.28
301037,保立佳,13.86,-4.08,21971.0,30564296.92,14.6,13.65,14.55,14.45,1926979168.0,942449300.0,3.23,110.21
600082,海泰发展,3.2,-7.78,283447.0,92623937.0,3.48,3.18,3.47,3.47,2067570643.0,2029873318.0,4.47,105.0011963295
688021,奥福科技,23.45,-4.29,45417.0,107701240.0,24.61,23.28,24.37,24.5,1791901664.0,1791901664.0,5.94,99.7554184743
688329,艾隆科技,23.36,-2.71,12501.0,29404955.0,24.22,23.11,24.22,24.01,1803392000.0,1803392000.0,1.62,96.56
300929,华骐环保,11.73,-5.71,52331.0,62263775.4,12.55,11.57,12.55,12.44,1549919574.0,1486746486.0,4.13,84.98
300013,新宁物流,3.62,-4.49,140049.0,51365226.04,3.79,3.61,3.77,3.79,2021259196.0,1614380822.0,3.14,84.09
603879,永悦科技,5.18,-5.3,97752.0,51491567.0,5.57,5.17,5.53,5.47,1861404199.0,1861404199.0,2.72,72.6540458622
002719,麦趣尔,8.11,-4.81,99177.0,81090489.4,8.56,8.02,8.56,8.52,1412270996.0,1312693480.0,6.13,61.95
688096,京源环保,7.74,-4.21,71035.0,55515504.0,8.18,7.6,8.16,8.08,1826985924.0,1826985924.0,3.01,61.05
688004,博汇科技,20.74,-2.81,17604.0,36644574.0,21.76,20.51,21.76,21.34,1661025120.0,1661025120.0,2.2,59.4260464959
002910,庄园牧场,10.2,-5.2,54993.0,56910694.0,10.8,10.16,10.8,10.76,1994501339.0,1744831890.0,3.21,59.08
688193,仁度生物,48.47,-4.85,5411.0,26454952.0,51.14,48.03,51.14,50.94,1942186599.0,1942186599.0,1.35,50.15
600119,长江投资,5.72,-4.67,56374.0,32612366.0,6.06,5.66,6.06,6.0,2089346516.0,2089346516.0,1.54,47.854436936
301024,霍普股份,30.99,-5.11,11015.0,34736215.0,33.12,30.81,31.93,32.66,1970499150.0,1907744400.0,1.79,46.42
300556,丝路视觉,16.68,-2.8,33335.0,56037089.0,17.39,16.51,17.23,17.16,2027709421.0,1809888403.0,3.07,43.36
300886,华业香料,27.0,-3.61,13708.0,37118113.37,28.25,26.77,28.25,28.01,2019546000.0,1178450100.0,3.14,39.41
301167,建研设计,15.62,-3.82,29793.0,46876903.3,16.44,15.46,16.41,16.24,1749440000.0,1108436921.0,4.2,39.36
300923,研奥股份,25.95,-4.63,17969.0,47215104.0,27.28,25.76,27.04,27.21,2039670000.0,1984357575.0,2.35,36.77
600455,博通股份,24.68,-4.75,35576.0,88894685.0,26.29,24.46,26.29,25.91,1541463440.0,1541463440.0,5.7,36.43
002856,美芝股份,10.75,-1.83,52913.0,56237108.0,11.08,10.42,10.95,10.95,1454612686.0,1331972762.0,4.27,26.79
600778,友好集团,6.03,-4.13,79098.0,48273100.0,6.32,6.01,6.29,6.29,1878292853.0,1876625738.0,2.54,26.33
