代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
605567,春雪食品,11.01,2.71,35419.0,38568240.0,11.05,10.63,10.79,10.72,2202000000.0,2202000000.0,1.77,1320.44
002188,中天服务,6.53,2.35,138710.0,89634948.0,6.56,6.32,6.4,6.38,2135988232.0,1680580436.0,5.39,642.28
300500,启迪设计,10.7,3.18,44732.0,47435880.2,10.84,10.29,10.39,10.37,1861531098.0,1793298119.0,2.67,354.7
300649,杭州园林,15.65,5.25,45853.0,71000092.0,16.14,14.7,14.91,14.87,2072319931.0,1660728139.0,4.32,142.43
688565,力源科技,12.96,2.78,29795.0,38206051.0,13.01,12.42,12.61,12.61,1940500800.0,1940500800.0,1.99,118.8801473289
300334,津膜科技,7.35,2.51,53489.0,38716679.0,7.4,7.08,7.17,7.17,2220180367.0,2219918743.0,1.77,111.28
301037,保立佳,14.92,3.4,17045.0,25090798.0,15.04,14.31,14.42,14.43,2074352755.0,1014526952.0,2.51,110.21
002524,光正眼科,4.16,1.22,127631.0,52619201.0,4.17,4.08,4.14,4.11,2143779348.0,2125166468.0,2.5,100.83
688021,奥福科技,24.41,1.24,16860.0,40853975.0,24.64,23.82,24.08,24.11,1865258832.0,1865258832.0,2.21,99.7554184743
688329,艾隆科技,24.39,1.63,13649.0,32994252.0,24.55,23.61,23.99,24.0,1882908000.0,1882908000.0,1.77,96.56
300929,华骐环保,12.81,2.4,31120.0,39430636.0,12.91,12.31,12.5,12.51,1692623166.0,1623633630.0,2.46,84.98
300013,新宁物流,3.81,1.6,111143.0,41996276.0,3.82,3.73,3.77,3.75,2127347386.0,1699113517.0,2.49,84.09
603879,永悦科技,5.43,2.84,81215.0,43753372.0,5.47,5.26,5.27,5.28,1951240309.0,1951240309.0,2.26,72.6540458622
002719,麦趣尔,8.53,1.67,50176.0,42455614.2,8.57,8.31,8.39,8.39,1485409568.0,1380675140.0,3.1,61.95
688096,京源环保,8.47,0.0,66888.0,56099180.0,8.56,8.23,8.46,8.47,1999298550.0,1999298550.0,2.83,61.05
688004,博汇科技,22.68,2.16,18250.0,41169793.0,22.84,22.19,22.36,22.2,1816395840.0,1816395840.0,2.28,59.4260464959
002910,庄园牧场,10.77,2.38,35314.0,37663125.0,10.81,10.41,10.55,10.52,2105958767.0,1842337202.0,2.06,59.08
688681,科汇股份,19.19,1.11,27843.0,52472711.0,19.32,18.32,18.84,18.98,2008617300.0,2008617300.0,2.66,53.71
688193,仁度生物,51.13,2.53,3619.0,18224415.0,51.22,49.3,49.86,49.87,2048772453.0,2048772453.0,0.9,50.15
000663,永安林业,6.41,1.1,81745.0,52228025.3,6.49,6.27,6.34,6.34,2158143985.0,1963390666.0,2.67,49.45
600119,长江投资,6.0,2.04,39350.0,23487064.0,6.08,5.85,5.89,5.88,2191622220.0,2191622220.0,1.08,47.854436936
301167,建研设计,16.69,2.39,27834.0,45955213.4,16.79,16.1,16.45,16.3,1869280000.0,1184366979.0,3.92,39.36
300886,华业香料,28.31,3.21,15411.0,42887842.4,28.32,27.15,27.45,27.43,2117531380.0,1235626753.0,3.53,36.79
300923,研奥股份,27.57,2.68,10528.0,28664434.0,27.7,26.62,26.88,26.85,2167002000.0,2108236545.0,1.38,36.77
600455,博通股份,25.75,1.82,15160.0,38729931.0,25.9,25.1,25.45,25.29,1608293500.0,1608293500.0,2.43,36.43
002856,美芝股份,11.72,1.56,41980.0,48770348.8,11.85,11.35,11.64,11.54,1585866110.0,1452160072.0,3.39,26.79
600778,友好集团,6.43,2.06,63628.0,40596414.0,6.45,6.26,6.3,6.3,2002889393.0,2001111691.0,2.04,26.33
300640,德艺文创,7.06,3.37,89893.0,62531458.0,7.12,6.78,6.84,6.83,2195613595.0,1558488858.0,4.07,26.25
600137,浪莎股份,21.59,2.86,34775.0,74097097.0,21.67,20.76,20.97,20.99,2098927725.0,2098927725.0,3.58,26.15
300295,三六五网,10.12,0.2,111373.0,110700981.0,10.16,9.76,10.05,10.1,1918890786.0,1695361987.0,6.65,21.53
