代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
300163,先锋新材,4.6,-0.43,196963.0,91027405.0,4.67,4.59,4.65,4.62,2180400000.0,2087433802.0,4.34,1852.52
605567,春雪食品,10.93,0.74,30856.0,33663072.0,11.03,10.75,10.9,10.85,2186000000.0,2186000000.0,1.54,1320.44
002188,中天服务,6.26,-2.19,245652.0,155766714.0,6.44,6.24,6.4,6.4,2047670189.0,1611092424.0,9.54,642.28
300500,启迪设计,10.64,1.24,34166.0,36445129.0,10.78,10.53,10.53,10.51,1851092606.0,1783242241.0,2.04,354.7
300649,杭州园林,14.87,3.34,26867.0,39623505.73,14.9,14.35,14.44,14.39,1969034976.0,1577957024.0,2.53,142.43
301372,科净源,30.94,9.41,53482.0,162768287.73,31.99,28.3,28.49,28.28,2121600044.0,1273813568.0,12.99,141.06
688681,科汇股份,18.88,0.21,20670.0,39304652.0,19.25,18.82,19.07,18.84,1976169600.0,1976169600.0,1.97,128.04
688565,力源科技,12.76,0.47,22384.0,28740955.0,13.01,12.66,12.8,12.7,1910554800.0,1910554800.0,1.49,118.8801473289
301037,保立佳,14.71,1.03,16565.0,24387839.0,15.0,14.5,14.65,14.56,2045156101.0,1000247417.0,2.44,110.21
002524,光正眼科,4.19,-0.24,158035.0,66578053.0,4.26,4.16,4.21,4.2,2159239295.0,2140492188.0,3.09,100.83
688021,奥福科技,24.56,0.7,22795.0,56080939.0,25.24,24.23,24.81,24.39,1876720890.0,1876720890.0,2.98,99.7554184743
688329,艾隆科技,24.2,0.79,15660.0,38119081.0,24.6,24.06,24.14,24.01,1868240000.0,1868240000.0,2.03,96.56
300929,华骐环保,12.88,0.31,29311.0,37743654.0,13.04,12.75,12.9,12.84,1701872473.0,1632505945.0,2.31,84.98
300013,新宁物流,3.79,0.53,86198.0,32800588.0,3.84,3.78,3.83,3.77,2116180208.0,1690194286.0,1.93,84.09
603879,永悦科技,5.37,0.94,70244.0,37971782.0,5.47,5.32,5.36,5.32,1929679643.0,1929679643.0,1.95,72.6540458622
002719,麦趣尔,8.6,-0.58,54256.0,46926221.0,8.8,8.51,8.73,8.65,1497599330.0,1392005417.0,3.35,61.95
688096,京源环保,8.19,0.37,43023.0,35352564.0,8.34,8.07,8.19,8.16,1933206036.0,1933206036.0,1.82,61.05
688004,博汇科技,22.14,1.23,10523.0,23357139.0,22.44,21.9,22.0,21.87,1773148320.0,1773148320.0,1.31,59.4260464959
002910,庄园牧场,10.64,-0.65,32962.0,35387441.0,10.85,10.63,10.75,10.71,2080538652.0,1820099148.0,1.93,59.08
688193,仁度生物,51.87,2.49,3166.0,16290580.0,52.38,50.28,50.86,50.61,2078424157.0,2078424157.0,0.79,50.15
600119,长江投资,6.02,1.18,38577.0,23284741.0,6.1,5.95,5.95,5.95,2198927627.0,2198927627.0,1.06,47.854436936
300556,丝路视觉,17.73,1.49,22811.0,40540060.0,17.9,17.64,17.64,17.47,2155352999.0,1923820227.0,2.1,43.36
300886,华业香料,28.97,0.98,12650.0,36637253.5,29.28,28.54,28.91,28.69,2166898060.0,1264433311.0,2.9,39.41
301167,建研设计,16.51,0.36,32298.0,53580343.18,16.77,16.45,16.65,16.45,1849120000.0,1171593698.0,4.55,39.36
300923,研奥股份,27.75,1.83,14186.0,39391601.42,28.01,27.43,27.58,27.25,2181150000.0,2122000875.0,1.86,36.77
600455,博通股份,26.0,0.81,17412.0,45618405.0,26.41,25.81,26.09,25.79,1623908000.0,1623908000.0,2.79,36.43
002856,美芝股份,11.25,-0.35,36940.0,41756423.0,11.5,11.15,11.3,11.29,1522269090.0,1393924984.0,2.98,26.79
600778,友好集团,6.41,1.42,60473.0,38767493.0,6.46,6.33,6.37,6.32,1996659566.0,1994887394.0,1.94,26.33
600137,浪莎股份,22.36,1.04,42571.0,95458934.0,22.75,21.93,22.13,22.13,2173785268.0,2173785268.0,4.38,26.15
300295,三六五网,9.48,0.32,45775.0,43826467.0,9.68,9.48,9.55,9.45,1797538009.0,1588145418.0,2.73,21.53
