代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
605567,春雪食品,9.02,1.23,32780.0,29422149.0,9.09,8.79,8.96,8.91,1804000000.0,1804000000.0,1.64,1320.44
002188,中天服务,5.69,2.89,104584.0,59224894.0,5.73,5.53,5.58,5.53,1861220986.0,1464395510.0,4.06,642.28
300500,启迪设计,10.21,1.49,27729.0,28258342.0,10.4,9.91,10.16,10.06,1776283412.0,1711175121.0,1.65,354.7
300899,上海凯鑫,30.22,0.77,10399.0,31337502.0,30.64,29.64,29.99,29.99,1927536343.0,1237087915.0,2.54,334.55
688288,鸿泉技术,19.8,2.33,13303.0,26392879.0,20.09,19.46,19.88,19.35,1976311339.0,1976311339.0,1.33,237.075847698
002696,百洋股份,5.52,2.03,91188.0,49819120.07,5.52,5.33,5.47,5.41,1908563361.0,1845109227.0,2.73,218.12
002486,嘉麟杰,2.35,1.29,228918.0,53821644.0,2.39,2.29,2.33,2.32,1937065285.0,1928029300.0,2.79,205.46
300605,恒锋信息,10.45,2.75,59338.0,61816696.44,10.57,10.12,10.36,10.17,1725752313.0,1320698034.0,4.7,142.38
688681,科汇股份,15.39,1.38,17703.0,27235148.0,15.59,15.1,15.37,15.18,1610871300.0,1610871300.0,1.69,128.04
688565,力源科技,10.22,0.69,37521.0,38527014.0,10.48,10.03,10.38,10.15,1530240600.0,1530240600.0,2.51,118.8801473289
301037,保立佳,13.92,1.46,20561.0,28461814.08,14.08,13.46,13.87,13.72,1935321069.0,946529167.0,3.02,110.21
002524,光正眼科,3.65,1.67,110091.0,39890672.0,3.68,3.53,3.62,3.59,1880960245.0,1864232295.0,2.16,100.83
688021,奥福科技,22.21,-0.4,17269.0,38357264.0,22.53,21.76,22.32,22.3,1697148655.0,1697148655.0,2.26,99.7554184743
688329,艾隆科技,22.39,0.0,19009.0,42746223.0,23.11,21.91,22.96,22.39,1728508000.0,1728508000.0,2.46,96.56
600706,曲江文旅,7.73,1.05,60341.0,46468200.0,7.8,7.51,7.71,7.65,1971612138.0,1963653330.0,2.38,86.2627164255
301167,建研设计,14.08,0.21,27005.0,37987771.81,14.29,13.7,14.05,14.05,1576960000.0,1488460428.0,2.55,85.51
300929,华骐环保,11.08,-0.54,30539.0,34031055.4,11.33,10.92,11.29,11.14,1464033152.0,1388992689.0,2.44,84.98
688121,卓然股份,6.48,0.0,0.0,0.0,0.0,0.0,0.0,6.48,1513818739.0,1313280002.0,0.0,74.55
603879,永悦科技,4.85,2.54,80441.0,38765133.0,4.89,4.68,4.8,4.73,1742820534.0,1742820534.0,2.24,72.6540458622
688004,博汇科技,19.93,-0.94,17910.0,36178233.0,20.73,19.75,20.45,20.12,1596153840.0,1596153840.0,2.24,59.4260464959
002910,庄园牧场,10.11,3.69,94748.0,94445000.0,10.24,9.55,9.83,9.75,1976902798.0,1729436315.0,5.54,59.08
000702,正虹科技,5.61,0.18,49325.0,27763021.0,5.71,5.53,5.62,5.6,1944565958.0,1495819971.0,1.85,52.88
000663,永安林业,5.7,1.79,62886.0,35768061.4,5.76,5.52,5.7,5.6,1919098395.0,1745916817.0,2.05,49.45
301131,聚赛龙,35.87,-0.33,13670.0,49272272.0,36.62,35.51,36.29,35.99,1960741472.0,1404485438.0,3.49,43.19
300886,华业香料,22.91,0.04,12516.0,28868761.0,23.36,22.65,23.36,22.9,1720953380.0,1082482609.0,2.65,39.41
300923,研奥股份,23.4,-2.05,23837.0,56598156.22,24.44,23.18,24.44,23.89,1839240000.0,1786043025.0,3.12,36.77
603029,天鹅股份,15.7,0.64,19595.0,30832051.0,15.95,15.44,15.79,15.6,1905069400.0,1905069400.0,1.61,29.31
600778,友好集团,5.75,1.95,61511.0,35136476.0,5.79,5.57,5.68,5.64,1791075274.0,1789485572.0,1.98,26.33
300640,德艺文创,6.0,0.67,100180.0,60105530.0,6.08,5.83,6.03,5.96,1865960562.0,1324494780.0,4.54,26.25
600137,浪莎股份,18.78,1.73,23101.0,43009783.0,18.92,18.24,18.65,18.46,1825746303.0,1825746303.0,2.38,26.15
