代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
688288,鸿泉技术,18.08,1.74,21425.0,38496553.0,18.26,17.41,17.41,17.77,1804631768.0,1804631768.0,2.15,1126.742112403
300535,达威股份,14.09,3.37,25687.0,35817889.51,14.32,13.58,13.62,13.63,1507909870.0,1143559138.0,3.16,412.82
605567,春雪食品,8.34,4.38,58860.0,48461867.0,8.45,7.97,8.05,7.99,1668000000.0,1668000000.0,2.94,383.98
002696,百洋股份,5.13,3.22,104362.0,53265757.8,5.2,4.95,4.95,4.97,1773719210.0,1714748249.0,3.12,366.36
002188,中天服务,5.03,2.65,133333.0,66651818.59,5.12,4.87,4.92,4.9,1645332436.0,1294535925.0,5.18,353.07
600778,友好集团,5.07,3.68,87924.0,44104672.0,5.14,4.85,4.89,4.89,1579261155.0,1577859452.0,2.83,316.27
688565,力源科技,9.66,2.22,41787.0,40283205.0,9.98,9.21,9.4,9.45,1446391800.0,1446391800.0,2.79,252.06
688329,艾隆科技,21.8,7.87,23588.0,50193667.0,21.95,20.1,20.19,20.21,1682960000.0,1682960000.0,3.06,185.5256539009
688021,奥福科技,20.36,5.17,39979.0,81130006.0,20.96,19.52,19.96,19.36,1555783278.0,1555783278.0,5.23,133.455466734
002760,凤形股份,16.75,2.01,49266.0,81954877.0,17.02,16.2,16.58,16.42,1808810826.0,1808810826.0,4.56,133.16
300169,天晟新材,5.1,2.2,111111.0,56437676.0,5.18,4.93,4.99,4.99,1731421134.0,1538852488.0,3.68,122.26
000702,正虹科技,5.19,4.64,129841.0,67108358.02,5.36,4.9,4.96,4.96,1798983480.0,1383833449.0,4.87,78.09
688121,卓然股份,6.48,0.0,0.0,0.0,0.0,0.0,0.0,6.48,1513818739.0,1313280002.0,0.0,74.55
300605,恒锋信息,9.65,4.44,75372.0,71909426.48,9.84,9.19,9.28,9.24,1593637303.0,1219591965.0,5.96,71.24
603879,永悦科技,4.63,2.43,155636.0,71739665.0,4.75,4.46,4.52,4.52,1663764757.0,1663764757.0,4.33,66.9054687697
301037,保立佳,12.51,4.25,27712.0,34189949.0,12.69,11.85,11.99,12.0,1739286392.0,850652290.0,4.08,62.97
002144,宏达高科,10.14,2.94,40872.0,41192342.0,10.28,9.82,9.84,9.85,1792372034.0,1395789009.0,2.97,54.77
688681,科汇股份,14.51,3.79,29832.0,42846697.0,14.77,13.92,14.08,13.98,1518761700.0,1518761700.0,2.85,53.71
301063,海锅股份,17.28,3.1,19153.0,32730028.9,17.46,16.73,16.9,16.76,1803353311.0,1670065396.0,1.98,53.52
688659,元琛科技,10.39,-0.48,51822.0,53669352.0,10.62,10.18,10.4,10.44,1662400000.0,1662400000.0,3.24,49.64
600561,江西长运,5.17,4.44,78478.0,40229446.0,5.27,4.91,4.94,4.95,1470745056.0,1470745056.0,2.76,45.32
300640,德艺文创,5.76,2.31,139890.0,79842919.42,5.87,5.54,5.68,5.63,1791322140.0,1271514989.0,6.34,41.84
688004,博汇科技,18.44,1.32,19740.0,36536219.0,18.98,18.02,18.19,18.2,1476822720.0,1476822720.0,2.46,41.4321729026
301167,建研设计,12.74,2.82,28673.0,36218656.4,12.95,12.26,12.35,12.39,1426880000.0,1346802972.0,2.71,39.36
600137,浪莎股份,16.74,3.14,17195.0,28595635.0,17.05,16.15,16.21,16.23,1627422423.0,1627422423.0,1.77,38.11
300886,华业香料,20.46,2.81,15083.0,30582138.9,20.85,19.78,19.84,19.9,1536914280.0,966721701.0,3.19,36.79
600455,博通股份,22.53,2.6,19396.0,43591246.0,22.98,21.9,21.97,21.96,1407178740.0,1407178740.0,3.11,36.43
001336,楚环科技,22.36,1.54,17453.0,38829399.0,22.74,21.72,21.95,22.02,1797151460.0,1102868094.0,3.54,36.03
600099,林海股份,8.3,4.01,45528.0,37439343.0,8.43,7.89,7.98,7.98,1818696000.0,1818696000.0,2.08,33.24
603709,中源家居,13.9,2.66,23308.0,32176489.0,14.15,13.4,13.58,13.54,1745359477.0,1739018853.0,1.86,32.3074627683
