代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
002188,中天服务,6.35,0.47,116090.0,73418646.9,6.44,6.18,6.27,6.32,2077109536.0,1634255094.0,4.51,642.28
605567,春雪食品,10.76,2.48,49333.0,52415749.0,10.81,10.46,10.49,10.5,2152000000.0,2152000000.0,2.47,383.98
300500,启迪设计,10.91,2.15,73261.0,79531055.0,11.16,10.39,10.39,10.68,1898065821.0,1828493689.0,4.37,354.7
600778,友好集团,6.27,0.48,85736.0,53315067.0,6.31,6.14,6.25,6.24,1953050777.0,1951317310.0,2.75,316.27
688329,艾隆科技,21.09,0.76,21087.0,44156533.0,21.23,20.58,21.0,20.93,1628148000.0,1628148000.0,2.73,185.5256539009
688565,力源科技,12.44,0.4,28479.0,35015574.0,12.5,12.0,12.16,12.39,1862641200.0,1862641200.0,1.9,118.8801473289
688021,奥福科技,24.04,1.69,16843.0,40264076.0,24.38,23.39,23.64,23.64,1836985757.0,1836985757.0,2.2,99.7554184743
002524,光正眼科,4.15,2.47,174905.0,71591556.32,4.16,4.0,4.05,4.05,2138626032.0,2119606582.0,3.42,88.84
300013,新宁物流,3.85,3.77,207184.0,78872706.0,3.88,3.7,3.7,3.71,2149681742.0,1716951979.0,4.65,84.09
603879,永悦科技,5.67,2.35,127237.0,70944928.0,5.7,5.42,5.5,5.54,2037482975.0,2037482975.0,3.54,66.9054687697
301037,保立佳,15.21,2.29,21062.0,31660869.66,15.4,14.65,14.84,14.87,2114671944.0,1034246310.0,3.1,62.97
002719,麦趣尔,8.13,0.12,70172.0,56763671.8,8.2,8.0,8.08,8.12,1415753785.0,1315930702.0,4.34,61.95
688096,京源环保,8.11,0.5,48921.0,39272983.0,8.21,7.86,8.16,8.07,1914322460.0,1914322460.0,2.07,61.05
002910,庄园牧场,10.7,-0.09,36821.0,39039964.89,10.77,10.35,10.35,10.71,2092271013.0,1830362865.0,2.15,59.08
688681,科汇股份,18.99,1.5,23286.0,43708731.0,19.07,18.41,18.65,18.71,1987683300.0,1987683300.0,2.22,53.71
000663,永安林业,6.35,0.47,86436.0,54286964.0,6.38,6.19,6.32,6.32,2137942949.0,1945012595.0,2.82,49.45
600119,长江投资,6.08,3.05,77876.0,46707020.0,6.12,5.8,5.9,5.9,2220843850.0,2220843850.0,2.13,47.854436936
600561,江西长运,6.76,1.35,49099.0,32926040.0,6.81,6.61,6.63,6.67,1923063168.0,1923063168.0,1.73,45.32
300556,丝路视觉,17.96,1.81,42929.0,76582258.0,18.1,17.49,17.55,17.64,2183313021.0,1948776722.0,3.96,43.36
688004,博汇科技,21.83,0.14,12087.0,26277858.0,22.08,21.25,22.0,21.8,1748321040.0,1748321040.0,1.51,41.4321729026
301167,建研设计,16.65,0.73,25358.0,41951579.0,16.75,16.32,16.51,16.53,1864800000.0,1181528472.0,3.57,39.36
300886,华业香料,28.55,-2.26,25288.0,71058139.32,28.95,27.6,28.95,29.21,2135482900.0,1246101865.0,5.79,36.79
300923,研奥股份,27.77,1.31,9331.0,25644013.81,27.97,26.61,27.38,27.41,2182722000.0,2123530245.0,1.22,36.77
600455,博通股份,25.44,0.67,13270.0,33580236.0,25.65,24.86,25.2,25.27,1588931520.0,1588931520.0,2.12,36.43
688426,康为世纪,19.47,0.1,13077.0,25348621.0,19.66,19.2,19.3,19.45,2190252651.0,748184749.0,3.4,31.6753107034
002856,美芝股份,12.48,5.32,60041.0,73602879.8,12.49,11.77,11.77,11.85,1688703844.0,1546327449.0,4.85,26.79
300640,德艺文创,6.96,2.2,81041.0,55743355.0,7.01,6.71,6.78,6.81,2164514252.0,1536413945.0,3.67,26.25
301531,春光集团,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,2191840000.0,0.0,0.0,25.6164563059
300074,华平股份,3.98,1.79,161056.0,62983576.0,3.99,3.84,3.89,3.91,2189348648.0,2177411434.0,2.94,19.65
688067,爱威科技,26.73,1.4,10157.0,26995857.0,27.07,26.13,26.23,26.36,1817640000.0,1817640000.0,1.49,16.35
