代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
688288,鸿泉技术,18.49,3.3,22217.0,40841439.0,18.65,17.8,17.95,17.9,1845555387.0,1845555387.0,2.23,1126.742112403
300535,达威股份,14.45,2.85,24701.0,35594168.0,14.63,14.05,14.16,14.05,1546437020.0,1172777115.0,3.04,412.82
605567,春雪食品,8.54,2.64,41825.0,35393303.0,8.6,8.32,8.34,8.32,1708000000.0,1708000000.0,2.09,383.98
002696,百洋股份,5.36,-4.96,347467.0,190860458.25,5.78,5.33,5.57,5.64,1853242684.0,1791627800.0,10.4,366.36
002188,中天服务,5.14,2.39,117992.0,60305838.52,5.2,4.95,5.09,5.02,1681313861.0,1322845856.0,4.58,353.07
600778,友好集团,5.18,2.17,72895.0,37632533.0,5.23,5.06,5.12,5.07,1613525203.0,1612093089.0,2.34,316.27
688565,力源科技,9.83,2.4,37164.0,36450813.0,9.97,9.65,9.65,9.6,1471845900.0,1471845900.0,2.48,252.06
688329,艾隆科技,22.86,4.72,20016.0,45460183.0,23.18,21.88,21.88,21.83,1764792000.0,1764792000.0,2.59,185.5256539009
002486,嘉麟杰,2.27,2.25,306843.0,68611424.36,2.28,2.18,2.22,2.22,1871122637.0,1862394260.0,3.74,142.47
688021,奥福科技,21.58,4.1,33442.0,71878924.0,21.9,20.54,20.83,20.73,1649008013.0,1649008013.0,4.38,133.455466734
002760,凤形股份,17.1,2.09,43059.0,73564899.0,17.33,16.79,16.88,16.75,1846606873.0,1846606873.0,3.99,133.16
300169,天晟新材,4.99,-0.99,119154.0,59298303.0,5.08,4.87,5.08,5.04,1694076757.0,1505661552.0,3.95,122.26
000702,正虹科技,5.3,1.73,95803.0,50428453.0,5.36,5.13,5.28,5.21,1837112224.0,1413163253.0,3.59,78.09
688121,卓然股份,6.48,0.0,0.0,0.0,0.0,0.0,0.0,6.48,1513818739.0,1313280002.0,0.0,74.55
300605,恒锋信息,9.55,1.38,56611.0,54142722.0,9.71,9.36,9.58,9.42,1577126394.0,1206957173.0,4.48,71.24
603879,永悦科技,4.65,1.97,171083.0,79047582.0,4.69,4.52,4.62,4.56,1670951646.0,1670951646.0,4.76,66.9054687697
301037,保立佳,12.59,1.94,26452.0,33134603.18,12.8,12.2,12.57,12.35,1750408927.0,856092113.0,3.89,62.97
002144,宏达高科,10.36,2.07,40755.0,42034542.0,10.43,10.1,10.25,10.15,1831259790.0,1426072399.0,2.96,54.77
300949,奥雅股份,21.25,2.26,18061.0,38168860.09,21.55,20.62,21.08,20.78,1848750000.0,1056901496.0,3.63,54.5
688681,科汇股份,15.19,3.05,37315.0,56073435.0,15.28,14.75,14.86,14.74,1589937300.0,1589937300.0,3.57,53.71
301063,海锅股份,17.81,2.65,20028.0,35475954.0,17.93,17.31,17.56,17.35,1858664494.0,1721288466.0,2.07,53.52
688659,元琛科技,10.24,1.19,62426.0,63798258.0,10.55,10.01,10.14,10.12,1638400000.0,1638400000.0,3.9,49.64
600561,江西长运,5.29,2.52,52784.0,27737837.0,5.34,5.14,5.17,5.16,1504882272.0,1504882272.0,1.86,45.32
300640,德艺文创,5.94,3.48,146698.0,85247205.0,5.98,5.61,5.79,5.74,1847300956.0,1311249832.0,6.65,41.84
688004,博汇科技,18.77,0.54,20611.0,38523461.0,19.24,18.25,18.67,18.67,1503251760.0,1503251760.0,2.57,41.4321729026
301167,建研设计,13.0,2.36,28600.0,37149006.0,13.23,12.7,12.86,12.7,1456000000.0,1374288747.0,2.71,39.36
600137,浪莎股份,17.4,2.96,20882.0,35997896.0,17.5,16.87,17.04,16.9,1691586031.0,1691586031.0,2.15,38.11
300886,华业香料,21.08,2.68,18940.0,39683357.92,21.2,20.53,20.69,20.53,1583487440.0,996016298.0,4.01,36.79
600455,博通股份,22.86,1.37,17390.0,39669570.0,23.12,22.33,22.55,22.55,1427789880.0,1427789880.0,2.78,36.43
001336,楚环科技,22.9,2.88,17861.0,40768034.0,23.2,22.37,22.37,22.26,1840553150.0,1129502654.0,3.62,36.03
