代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
600768,宁波富邦,16.19,-2.29,95179.0,154785356.0,17.16,16.01,16.68,16.57,2165367168.0,2165367168.0,7.12,3649.06
300163,先锋新材,4.61,0.88,135748.0,62287625.0,4.64,4.54,4.61,4.57,2185140000.0,2091971702.0,2.99,1852.52
605567,春雪食品,10.82,-0.28,39761.0,42839963.0,11.05,10.61,10.99,10.85,2164000000.0,2164000000.0,1.99,1320.44
002188,中天服务,6.61,1.85,255709.0,167785240.52,6.65,6.45,6.57,6.49,2162156541.0,1701169476.0,9.94,642.28
300500,启迪设计,10.54,-0.85,34987.0,36738896.0,10.8,10.35,10.75,10.63,1833695119.0,1766482446.0,2.09,354.7
300649,杭州园林,15.07,1.14,17726.0,26523870.52,15.2,14.77,14.97,14.9,1995518298.0,1599180387.0,1.67,142.43
301372,科净源,30.59,5.3,40485.0,122829477.1,31.05,29.08,29.65,29.05,2097600044.0,1259403913.0,9.83,141.06
688681,科汇股份,18.89,0.64,15364.0,28973523.0,19.1,18.64,19.09,18.77,1977216300.0,1977216300.0,1.47,128.04
688565,力源科技,12.64,0.32,21413.0,26994561.0,12.9,12.34,12.89,12.6,1892587200.0,1892587200.0,1.43,118.8801473289
301037,保立佳,14.49,-0.96,15254.0,22142408.19,14.89,14.25,14.7,14.63,2014569130.0,985287905.0,2.24,110.21
002524,光正眼科,4.14,-0.72,152025.0,62599307.48,4.22,4.06,4.21,4.17,2133472716.0,2114949321.0,2.98,100.83
688021,奥福科技,24.18,-0.21,28787.0,70514308.0,25.63,24.0,24.51,24.23,1847683677.0,1847683677.0,3.77,99.7554184743
688329,艾隆科技,23.84,0.68,18355.0,43823505.0,24.12,23.7,23.75,23.68,1840448000.0,1840448000.0,2.38,96.56
300929,华骐环保,12.59,-1.72,40782.0,50949069.0,12.93,12.27,12.88,12.81,1663553916.0,1595749212.0,3.22,84.98
300013,新宁物流,3.79,-0.52,92771.0,35092588.0,3.83,3.74,3.82,3.81,2116180208.0,1690194286.0,2.08,84.09
603879,永悦科技,5.4,-0.92,73596.0,39692898.0,5.53,5.31,5.5,5.45,1940459976.0,1940459976.0,2.05,72.6540458622
002719,麦趣尔,8.55,-0.12,54735.0,46679328.0,8.72,8.39,8.72,8.56,1488892357.0,1383912362.0,3.38,61.95
688096,京源环保,8.25,2.87,52094.0,42253028.0,8.27,7.95,8.13,8.02,1947368717.0,1947368717.0,2.21,61.05
688004,博汇科技,22.35,0.72,12314.0,27549257.0,22.69,22.0,22.33,22.19,1789966800.0,1789966800.0,1.54,59.4260464959
002910,庄园牧场,10.61,-1.03,34295.0,36277817.17,10.79,10.44,10.79,10.72,2074672472.0,1814967290.0,2.0,59.08
688193,仁度生物,49.98,-2.0,4109.0,20550781.0,51.85,49.44,51.49,51.0,2002692103.0,2002692103.0,1.03,50.15
000663,永安林业,6.45,-1.98,92309.0,59719560.6,6.65,6.35,6.62,6.58,2171611342.0,1975642714.0,3.01,49.45
600119,长江投资,5.99,-1.8,51644.0,30959542.0,6.14,5.89,6.13,6.1,2187969516.0,2187969516.0,1.41,47.854436936
300556,丝路视觉,17.85,0.34,27910.0,49845717.0,18.09,17.62,18.0,17.79,2169940837.0,1936841007.0,2.57,43.36
300886,华业香料,27.81,-1.8,12791.0,35624029.95,28.52,27.45,28.49,28.32,2080132380.0,1213803603.0,2.93,39.41
301167,建研设计,16.35,-0.18,25455.0,41453940.8,16.52,16.11,16.48,16.38,1831200000.0,1160239671.0,3.59,39.36
300923,研奥股份,27.21,0.33,11216.0,30433336.76,27.43,26.86,27.29,27.12,2138706000.0,2080707885.0,1.47,36.77
600455,博通股份,25.75,-0.66,16322.0,41852733.0,26.18,25.3,26.14,25.92,1608293500.0,1608293500.0,2.61,36.43
002856,美芝股份,11.83,6.1,106085.0,123426045.2,12.17,11.28,11.38,11.15,1600750519.0,1465789561.0,8.56,26.79
600778,友好集团,6.37,0.0,59235.0,37551858.0,6.44,6.28,6.42,6.37,1984199912.0,1982438798.0,1.9,26.33
