代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
603860,中公高科,32.04,1.39,18970.0,60957373.0,32.5,31.75,32.34,31.6,2136427200.0,2136427200.0,2.84,2.19
002316,亚联发展,5.64,-0.53,250566.0,142048455.26,5.83,5.6,5.78,5.67,2217196800.0,1922027400.0,7.35,-38.06
600493,凤竹纺织,7.54,-0.13,81427.0,61448412.0,7.76,7.42,7.65,7.55,2050880000.0,2050880000.0,2.99,-70.45
002715,登云股份,14.84,-2.88,51268.0,76567458.5,15.6,14.6,15.48,15.28,2047920000.0,2047920000.0,3.72,-406.63
300675,建科院,15.17,1.81,26257.0,39688568.26,15.38,14.95,15.18,14.9,2224933839.0,2224933839.0,1.79,-3936.69
