代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
605567,春雪食品,10.91,-0.91,30701.0,33468758.0,11.06,10.8,11.02,11.01,2182000000.0,2182000000.0,1.54,1320.44
002188,中天服务,6.5,-0.46,111854.0,72747455.0,6.58,6.44,6.58,6.53,2126175116.0,1672859546.0,4.35,642.28
300500,启迪设计,10.59,-1.03,42202.0,44855514.8,10.86,10.48,10.75,10.7,1842393863.0,1774862343.0,2.52,354.7
300649,杭州园林,15.48,-1.09,28904.0,45165442.0,15.94,15.46,15.58,15.65,2049809107.0,1642688281.0,2.72,142.43
688565,力源科技,12.74,-1.7,31429.0,39773262.0,12.95,12.51,12.83,12.96,1907560200.0,1907560200.0,2.1,118.8801473289
300334,津膜科技,7.17,-2.45,61582.0,44369316.0,7.35,7.13,7.33,7.35,2165808603.0,2165553386.0,2.04,111.28
301037,保立佳,15.01,0.6,17648.0,26374204.6,15.16,14.76,14.92,14.92,2086865607.0,1020646753.0,2.6,110.21
002524,光正眼科,4.04,-2.88,179573.0,72640584.0,4.17,3.99,4.16,4.16,2081939559.0,2063863589.0,3.52,100.83
688021,奥福科技,24.31,-0.41,16871.0,40801336.0,24.52,23.89,24.5,24.41,1857617460.0,1857617460.0,2.21,99.7554184743
688329,艾隆科技,24.14,-1.03,14100.0,34007287.0,24.49,23.83,24.49,24.39,1863608000.0,1863608000.0,1.83,96.56
300929,华骐环保,12.45,-2.81,38316.0,47890478.88,12.8,12.37,12.79,12.81,1645055302.0,1578004582.0,3.02,84.98
300013,新宁物流,3.72,-2.36,125943.0,47035864.82,3.81,3.7,3.81,3.81,2077095086.0,1658976977.0,2.82,84.09
603879,永悦科技,5.37,-1.1,75728.0,40638607.0,5.43,5.31,5.41,5.43,1929679643.0,1929679643.0,2.11,72.6540458622
002719,麦趣尔,8.35,-2.11,51130.0,42943514.0,8.6,8.29,8.6,8.53,1454064466.0,1351540143.0,3.16,61.95
688096,京源环保,8.17,-3.54,59691.0,49205226.0,8.52,8.11,8.5,8.47,1928485142.0,1928485142.0,2.53,61.05
002910,庄园牧场,10.66,-1.02,32677.0,34834831.0,10.8,10.55,10.77,10.77,2084449439.0,1823520387.0,1.91,59.08
688681,科汇股份,19.0,-0.99,21401.0,40830440.0,19.31,18.94,19.19,19.19,1988730000.0,1988730000.0,2.04,53.71
688193,仁度生物,51.38,0.49,3522.0,17960657.0,51.85,50.11,51.29,51.13,2058789921.0,2058789921.0,0.88,50.15
000663,永安林业,6.35,-0.94,73206.0,46590762.0,6.5,6.3,6.41,6.41,2137942949.0,1945012595.0,2.39,49.45
600119,长江投资,5.96,-0.67,67687.0,40276675.0,6.08,5.86,6.02,6.0,2177011405.0,2177011405.0,1.85,47.854436936
300556,丝路视觉,18.07,-2.48,60853.0,110677074.15,18.64,17.95,18.52,18.53,2196685206.0,1960712437.0,5.61,43.36
688004,博汇科技,22.15,-2.34,28538.0,63143463.0,22.62,21.82,22.47,22.68,1773949200.0,1773949200.0,3.56,41.4321729026
301167,建研设计,16.67,-0.12,19244.0,32033608.0,16.78,16.53,16.75,16.69,1867040000.0,1182947726.0,2.71,39.36
300886,华业香料,29.01,2.47,17702.0,50994483.14,29.28,28.18,28.38,28.31,2169889980.0,1266179163.0,4.06,36.79
300923,研奥股份,27.61,0.15,10450.0,28873576.0,27.85,27.34,27.57,27.57,2170146000.0,2111295285.0,1.37,36.77
600455,博通股份,25.62,-0.5,14599.0,37244256.0,25.88,25.26,25.74,25.75,1600173960.0,1600173960.0,2.34,36.43
002856,美芝股份,11.55,-1.45,49525.0,57144877.6,11.89,11.4,11.75,11.72,1562862932.0,1431096317.0,4.0,26.79
600778,友好集团,6.39,-0.62,60055.0,38436818.0,6.48,6.34,6.43,6.43,1990429739.0,1988663096.0,1.93,26.33
300640,德艺文创,6.97,-1.27,70645.0,49181199.0,7.1,6.9,7.06,7.06,2167624186.0,1538621436.0,3.2,26.25
600137,浪莎股份,22.36,3.57,58704.0,129056086.0,22.63,21.35,21.48,21.59,2173785268.0,2173785268.0,6.04,26.15
