代码,名称,最新价,涨跌幅,成交量,成交额,最高,最低,今开,昨收,总市值,流通市值,换手率,净利润同比增长率
688288,鸿泉技术,17.72,-0.62,18355.0,32199592.0,17.95,17.04,17.94,17.83,1768698835.0,1768698835.0,1.84,1126.742112403
300535,达威股份,13.64,-0.44,29455.0,39968383.27,13.94,13.22,13.71,13.7,1459750931.0,1107036667.0,3.63,412.82
605567,春雪食品,8.22,0.98,53912.0,43435261.0,8.23,7.81,8.13,8.14,1644000000.0,1644000000.0,2.7,383.98
002696,百洋股份,5.01,-0.4,78140.0,38854909.4,5.07,4.83,5.01,5.03,1732228702.0,1674637179.0,2.34,366.36
002188,中天服务,4.92,0.41,160139.0,77598343.0,4.95,4.62,4.89,4.9,1609351011.0,1266225994.0,6.22,353.07
600778,友好集团,4.93,0.61,85631.0,41646064.0,4.99,4.71,4.95,4.9,1535652365.0,1534289368.0,2.75,316.27
688565,力源科技,9.49,-1.86,36736.0,34661202.0,9.73,9.15,9.62,9.67,1420937700.0,1420937700.0,2.45,252.06
688329,XD艾隆科,21.03,3.75,24734.0,51288903.0,21.42,19.76,20.34,20.27,1623516000.0,1623516000.0,3.2,185.5256539009
688021,奥福科技,19.26,-3.12,26809.0,51783595.0,20.0,18.83,19.74,19.88,1471728189.0,1471728189.0,3.51,133.455466734
002760,凤形股份,15.99,-0.81,43507.0,69084645.0,16.28,15.51,16.11,16.12,1726739409.0,1726739409.0,4.03,133.16
300169,天晟新材,4.92,3.14,136596.0,66058957.09,4.96,4.67,4.85,4.77,1670312153.0,1484540047.0,4.53,122.26
002524,光正眼科,3.36,-0.3,249645.0,82562648.0,3.4,3.19,3.38,3.37,1731514089.0,1716115209.0,4.89,88.84
000702,正虹科技,5.01,1.62,110864.0,55066526.0,5.13,4.72,4.91,4.93,1736590989.0,1335839226.0,4.16,78.09
688121,卓然股份,6.48,0.0,0.0,0.0,0.0,0.0,0.0,6.48,1513818739.0,1313280002.0,0.0,74.55
300605,恒锋信息,9.12,-0.87,79884.0,72827624.23,9.38,8.83,9.38,9.2,1506111109.0,1152609193.0,6.32,71.24
603879,永悦科技,4.47,1.13,150347.0,66355082.0,4.57,4.27,4.46,4.42,1606269647.0,1606269647.0,4.18,66.9054687697
301037,保立佳,12.09,-1.06,27726.0,33249542.2,12.29,11.58,12.24,12.22,1680893084.0,822093221.0,4.08,62.97
002144,宏达高科,9.98,-0.1,44698.0,44125519.65,10.28,9.6,9.98,9.99,1764090029.0,1373764724.0,3.25,54.77
300949,奥雅股份,20.07,-0.4,14912.0,29949636.35,20.7,19.66,20.13,20.15,1746090000.0,998212378.0,3.0,54.5
688681,科汇股份,13.78,-1.15,24823.0,34030263.0,14.03,13.36,13.94,13.94,1442352600.0,1442352600.0,2.37,53.71
301063,海锅股份,16.76,-0.53,20133.0,33423329.0,16.98,16.18,16.84,16.85,1749085734.0,1619808798.0,2.08,53.52
688659,元琛科技,10.23,-3.31,66600.0,68280660.0,10.93,9.98,10.93,10.58,1636800000.0,1636800000.0,4.16,49.64
600561,江西长运,5.04,-0.59,56105.0,28037986.0,5.13,4.82,5.07,5.07,1433763072.0,1433763072.0,1.97,45.32
688004,博汇科技,18.18,-0.6,20567.0,37658014.0,19.28,17.75,18.05,18.29,1455999840.0,1455999840.0,2.57,41.4321729026
301167,建研设计,12.54,0.16,25397.0,31274871.4,12.65,11.96,12.65,12.52,1404480000.0,1325660068.0,2.4,39.36
600137,XD浪莎股,16.71,2.7,33314.0,54316719.0,16.79,15.7,16.46,16.27,1624505895.0,1624505895.0,3.43,38.11
300886,华业香料,19.83,-0.5,17959.0,35238509.41,20.16,19.0,20.13,19.93,1489589940.0,936954611.0,3.8,36.79
600455,博通股份,22.05,1.52,18525.0,40151890.0,22.2,21.0,21.67,21.72,1377198900.0,1377198900.0,2.97,36.43
001336,楚环科技,22.11,-1.95,19547.0,42977049.0,22.8,21.33,22.66,22.55,1777058085.0,1090537279.0,3.96,36.03
600099,林海股份,8.13,0.12,48115.0,38592453.0,8.18,7.79,8.12,8.12,1781445600.0,1781445600.0,2.2,33.24
